=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:02:24 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
0,-37.095,0,0,0
0.005,-37.529,0,0,0
0.010,-38.290,0,0,0
0.015,-38.507,0,0,0
0.020,-38.507,0,0,0
0.025,-38.615,0,0,1
0.030,-39.919,0,0,0
0.035,-39.702,0,0,0
0.040,-39.810,0,0,0
0.045,-39.919,0,0,0
0.050,-41.874,0,0,1
0.055,-42.091,0,0,1
0.060,-41.983,0,0,1
0.065,-42.417,0,0,1
0.070,-44.481,0,0,1
0.075,-43.938,0,0,1
0.080,-44.373,0,0,1
0.085,-45.893,0,0,1
0.090,-47.088,0,0,1
0.095,-46.654,0,0,1
0.100,-47.849,0,0,1
0.105,-48.283,0,0,1
0.110,-48.826,0,0,1
0.115,-48.609,0,0,1
0.120,-48.718,0,0,1
0.125,-46.980,0,0,1
0.130,-45.893,0,0,1
0.135,-46.762,0,0,1
0.140,-49.043,0,0,1
0.145,-49.913,0,0,1
0.150,-50.999,0,0,1
0.155,-50.347,0,0,1
0.160,-49.478,0,0,1
0.165,-48.609,0,0,1
0.170,-47.740,0,0,1
0.175,-45.785,0,0,1
0.180,-45.785,0,0,1
0.185,-45.785,0,0,1
0.190,-45.242,0,0,1
0.195,-45.133,0,0,1
0.200,-45.676,0,0,1
0.205,-47.414,0,0,1
0.210,-47.523,0,0,1
0.215,-48.609,0,0,1
0.220,-50.347,0,0,1
0.225,-55.887,0,0,1
0.230,-57.408,0,0,1
0.235,-55.996,0,0,1
0.240,-53.606,0,0,1
0.245,-51.651,0,0,1
0.250,-49.695,0,0,1
0.255,-48.500,0,0,1
0.260,-47.957,0,0,1
0.265,-48.500,0,0,1
0.270,-47.523,0,0,1
0.275,-47.197,0,0,1
0.280,-47.957,0,0,1
0.285,-50.021,0,0,1
0.290,-50.021,0,0,1
0.295,-51.107,0,0,1
0.300,-51.325,0,0,1
0.305,-52.194,0,0,1
0.310,-51.868,0,0,1
0.315,-52.845,0,0,1
0.320,-53.280,0,0,1
0.325,-53.932,0,0,1
0.330,-53.932,0,0,1
0.335,-54.801,0,0,1
0.340,-55.887,0,0,1
