=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:08:54 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
1.030,-42.200,0,0,0
1.035,-42.091,0,0,0
1.040,-43.069,0,0,0
1.045,-42.309,0,0,0
1.050,-42.200,0,0,0
1.055,-41.331,0,0,0
1.060,-41.766,0,0,0
1.065,-40.897,0,0,0
1.070,-39.810,0,0,0
1.075,-39.919,0,0,0
1.080,-40.462,0,0,0
1.085,-39.919,0,0,0
1.090,-40.136,0,0,0
1.095,-39.702,0,0,0
1.100,-40.136,0,0,0
1.105,-39.919,0,0,0
1.110,-39.159,0,0,0
1.115,-39.484,0,0,0
1.120,-40.245,0,0,0
1.125,-39.159,0,0,0
1.130,-38.290,0,0,0
1.135,-38.072,0,0,0
1.140,-38.507,0,0,0
1.145,-37.746,0,0,0
1.150,-36.334,0,0,0
1.155,-36.877,0,0,0
1.160,-36.117,0,0,0
1.165,-34.814,0,0,0
1.170,-33.727,0,0,0
1.175,-34.053,0,0,0
1.180,-34.270,0,0,0
1.185,-33.076,0,0,0
1.190,-33.076,0,0,0
1.195,-34.814,0,0,0
1.200,-33.945,0,0,0
1.205,-32.967,0,0,0
1.210,-33.836,0,0,0
1.215,-34.270,0,0,0
1.220,-34.270,0,0,0
1.225,-33.293,0,0,0
1.230,-33.076,0,0,0
1.235,-34.705,0,0,0
1.240,-33.076,0,0,0
1.245,-32.207,0,0,0
1.250,-31.338,0,0,0
1.255,-31.446,0,0,0
1.260,-30.686,0,0,0
1.265,-29.708,0,0,0
1.270,-28.948,0,0,0
1.275,-29.056,0,0,0
1.280,-26.992,0,0,0
1.285,-24.929,0,0,0
1.290,-22.756,0,0,0
1.295,-24.277,0,0,0
1.300,-23.408,0,0,0
1.305,-24.385,0,0,0
1.310,-26.232,0,0,0
1.315,-27.861,0,0,0
1.320,-27.861,0,0,0
1.325,-26.232,0,0,0
1.330,-23.734,0,0,0
1.335,-21.561,0,0,0
1.340,-19.606,0,0,0
1.345,-18.520,0,0,0
1.350,-18.302,0,0,1
1.355,-19.497,0,0,1
1.360,-19.389,0,0,1
1.365,-21.561,0,0,1
1.370,-23.191,0,0,1
1.375,-25.037,0,0,1
1.380,-23.516,0,0,1
1.385,-23.299,0,0,1
1.390,-24.168,0,0,1
1.395,-23.734,0,0,1
1.400,-23.951,0,0,1
1.405,-25.580,0,0,1
1.410,-26.884,0,0,1
1.415,-27.536,0,0,1
1.420,-26.449,0,0,1
1.425,-26.232,0,0,1
1.430,-28.513,0,0,1
1.435,-28.730,0,0,1
1.440,-29.491,0,0,1
1.445,-31.446,0,0,1
1.450,-34.270,0,0,1
1.455,-34.596,0,0,1
