=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:03:14 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
0,-38.507,0,0,0
0.005,-38.398,0,0,0
0.010,-40.028,0,0,0
0.015,-39.702,0,0,0
0.020,-38.615,0,0,0
0.025,-38.833,0,0,0
0.030,-39.702,0,0,0
0.035,-39.810,0,0,0
0.040,-39.593,0,0,0
0.045,-39.484,0,0,0
0.050,-39.593,0,0,0
0.055,-39.484,0,0,0
0.060,-39.267,0,0,0
0.065,-39.267,0,0,0
0.070,-40.028,0,0,0
0.075,-39.484,0,0,0
0.080,-38.615,0,0,0
0.085,-38.507,0,0,0
0.090,-38.615,0,0,0
0.095,-39.376,0,0,0
0.100,-38.181,0,0,0
0.105,-37.638,0,0,0
0.110,-38.615,0,0,0
0.115,-38.833,0,0,0
0.120,-38.290,0,0,0
0.125,-38.290,0,0,0
0.130,-38.833,0,0,0
0.135,-38.398,0,0,0
0.140,-38.615,0,0,0
0.145,-38.833,0,0,0
0.150,-39.376,0,0,0
0.155,-38.398,0,0,0
0.160,-38.941,0,0,0
0.165,-38.833,0,0,0
0.170,-39.593,0,0,0
0.175,-39.376,0,0,0
0.180,-39.267,0,0,0
0.185,-39.484,0,0,0
0.190,-41.222,0,0,0
0.195,-39.376,0,0,0
0.200,-39.593,0,0,0
0.205,-39.810,0,0,0
0.210,-41.874,0,0,0
0.215,-41.657,0,0,0
0.220,-39.919,0,0,0
0.225,-40.897,0,0,0
0.230,-40.788,0,0,0
0.235,-39.919,0,0,0
0.240,-39.702,0,0,0
0.245,-41.548,0,0,0
0.250,-40.788,0,0,0
0.255,-40.028,0,0,0
0.260,-39.919,0,0,0
0.265,-41.114,0,0,0
0.270,-41.440,0,0,0
0.275,-39.919,0,0,0
0.280,-40.571,0,0,0
0.285,-41.114,0,0,0
0.290,-41.114,0,0,0
0.295,-40.571,0,0,0
0.300,-40.897,0,0,0
0.305,-41.874,0,0,0
0.310,-41.222,0,0,0
0.315,-40.897,0,0,0
0.320,-41.440,0,0,0
0.325,-41.766,0,0,0
0.330,-41.874,0,0,0
0.335,-42.091,0,0,0
0.340,-41.440,0,0,0
0.345,-43.178,0,0,0
0.350,-42.200,0,0,0
0.355,-41.983,0,0,0
0.360,-42.091,0,0,0
0.365,-42.852,0,0,0
0.370,-42.417,0,0,0
0.375,-42.526,0,0,0
0.380,-41.983,0,0,0
0.385,-42.960,0,0,0
0.390,-42.091,0,0,0
0.395,-42.091,0,0,0
0.400,-42.091,0,0,0
0.405,-43.395,0,0,0
0.410,-42.852,0,0,0
0.415,-42.200,0,0,0
0.420,-42.417,0,0,0
0.425,-42.960,0,0,0
0.430,-42.852,0,0,0
0.435,-42.526,0,0,0
0.440,-42.635,0,0,0
0.445,-43.612,0,0,0
0.450,-43.069,0,0,0
0.455,-42.852,0,0,0
0.460,-43.612,0,0,0
0.465,-43.395,0,0,0
0.470,-42.635,0,0,0
0.475,-42.960,0,0,0
0.480,-43.721,0,0,0
0.485,-43.069,0,0,0
0.490,-42.852,0,0,0
0.495,-43.069,0,0,0
0.500,-43.504,0,0,0
0.505,-44.047,0,0,0
0.510,-42.743,0,0,0
0.515,-42.526,0,0,0
0.520,-43.395,0,0,0
0.525,-43.395,0,0,0
0.530,-42.960,0,0,0
0.535,-42.635,0,0,0
0.540,-43.612,0,0,0
0.545,-42.526,0,0,0
0.550,-42.309,0,0,0
0.555,-42.526,0,0,0
0.560,-43.178,0,0,0
0.565,-42.960,0,0,0
0.570,-42.200,0,0,0
0.575,-41.983,0,0,0
0.580,-42.743,0,0,0
0.585,-41.983,0,0,0
0.590,-41.114,0,0,0
0.595,-40.571,0,0,0
0.600,-41.657,0,0,0
0.605,-40.245,0,0,0
0.610,-39.702,0,0,0
0.615,-39.702,0,0,0
0.620,-39.593,0,0,0
0.625,-39.050,0,0,0
0.630,-38.507,0,0,0
0.635,-38.724,0,0,0
0.640,-39.702,0,0,0
0.645,-39.159,0,0,0
0.650,-38.941,0,0,0
0.655,-38.941,0,0,0
0.660,-40.571,0,0,0
0.665,-39.050,0,0,0
0.670,-39.159,0,0,0
0.675,-40.571,0,0,0
0.680,-40.462,0,0,0
0.685,-39.702,0,0,0
0.690,-40.353,0,0,0
0.695,-41.331,0,0,0
0.700,-41.440,0,0,0
0.705,-41.222,0,0,0
0.710,-41.874,0,0,0
0.715,-42.743,0,0,0
0.720,-43.069,0,0,0
0.725,-43.286,0,0,0
0.730,-43.178,0,0,0
0.735,-44.481,0,0,0
0.740,-43.829,0,0,0
0.745,-43.069,0,0,0
0.750,-43.612,0,0,0
0.755,-43.829,0,0,0
0.760,-43.938,0,0,0
0.765,-43.612,0,0,0
0.770,-43.395,0,0,0
0.775,-45.242,0,0,0
0.780,-44.916,0,0,0
0.785,-44.047,0,0,0
0.790,-43.938,0,0,1
0.795,-46.002,0,0,1
0.800,-44.698,0,0,1
0.805,-45.459,0,0,1
0.810,-45.785,0,0,1
0.815,-47.957,0,0,1
0.820,-46.545,0,0,1
0.825,-46.762,0,0,1
0.830,-46.654,0,0,1
0.835,-47.957,0,0,1
0.840,-46.762,0,0,1
0.845,-47.414,0,0,1
0.850,-48.066,0,0,1
0.855,-50.021,0,0,1
0.860,-50.130,0,0,1
0.865,-48.174,0,0,1
0.870,-47.849,0,0,1
0.875,-45.893,0,0,1
0.880,-45.242,0,0,1
0.885,-45.459,0,0,1
0.890,-46.002,0,0,1
0.895,-45.459,0,0,1
0.900,-44.373,0,0,1
0.905,-44.698,0,0,1
0.910,-47.305,0,0,1
0.915,-49.478,0,0,1
0.920,-48.826,0,0,1
0.925,-49.369,0,0,1
0.930,-49.043,0,0,1
0.935,-48.826,0,0,1
0.940,-45.785,0,0,1
0.945,-44.916,0,0,1
0.950,-44.916,0,0,1
0.955,-45.242,0,0,1
0.960,-45.242,0,0,1
0.965,-44.916,0,0,1
0.970,-45.893,0,0,1
0.975,-45.350,0,0,1
0.980,-46.111,0,0,1
0.985,-47.305,0,0,1
0.990,-48.935,0,0,1
