=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:13:43 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
0,-46.111,0,0,0
0.005,-46.328,0,0,0
0.010,-47.414,0,0,0
0.015,-47.414,0,0,0
0.020,-45.893,0,0,0
0.025,-45.893,0,0,0
0.030,-46.111,0,0,0
0.035,-46.871,0,0,0
0.040,-45.785,0,0,0
0.045,-45.676,0,0,0
0.050,-46.545,0,0,0
0.055,-46.762,0,0,0
0.060,-46.111,0,0,0
0.065,-46.002,0,0,0
0.070,-47.088,0,0,0
0.075,-47.414,0,0,0
0.080,-46.111,0,0,0
0.085,-46.002,0,0,0
0.090,-46.654,0,0,0
0.095,-46.545,0,0,0
0.100,-46.002,0,0,0
0.105,-46.328,0,0,0
0.110,-47.523,0,0,0
0.115,-46.871,0,0,0
0.120,-45.785,0,0,0
0.125,-46.436,0,0,0
0.130,-47.414,0,0,0
0.135,-47.088,0,0,0
0.140,-46.328,0,0,0
0.145,-46.545,0,0,0
0.150,-47.414,0,0,0
0.155,-46.980,0,0,0
0.160,-46.436,0,0,0
0.165,-46.654,0,0,0
0.170,-47.197,0,0,0
0.175,-46.654,0,0,0
0.180,-46.219,0,0,0
0.185,-46.328,0,0,0
0.190,-46.980,0,0,0
0.195,-46.111,0,0,0
0.200,-46.219,0,0,0
0.205,-47.523,0,0,0
0.210,-46.762,0,0,0
0.215,-46.436,0,0,0
0.220,-46.111,0,0,0
0.225,-46.871,0,0,0
0.230,-47.849,0,0,0
0.235,-46.002,0,0,0
0.240,-46.002,0,0,0
0.245,-46.654,0,0,0
0.250,-47.088,0,0,0
0.255,-45.133,0,0,0
0.260,-44.916,0,0,0
0.265,-45.242,0,0,0
0.270,-44.047,0,0,0
0.275,-43.612,0,0,0
0.280,-43.069,0,0,0
0.285,-43.938,0,0,0
0.290,-43.069,0,0,0
0.295,-42.526,0,0,0
0.300,-42.526,0,0,0
0.305,-43.178,0,0,0
0.310,-42.852,0,0,0
0.315,-42.309,0,0,0
0.320,-41.548,0,0,0
0.325,-42.091,0,0,0
0.330,-41.440,0,0,0
0.335,-41.331,0,0,0
0.340,-40.788,0,0,0
0.345,-42.091,0,0,0
0.350,-41.548,0,0,0
0.355,-40.679,0,0,0
0.360,-41.657,0,0,0
0.365,-42.526,0,0,0
0.370,-41.874,0,0,0
0.375,-42.526,0,0,0
0.380,-42.635,0,0,0
0.385,-43.504,0,0,0
0.390,-43.069,0,0,0
0.395,-42.635,0,0,0
0.400,-42.743,0,0,0
0.405,-43.938,0,0,0
0.410,-42.960,0,0,0
0.415,-42.852,0,0,0
0.420,-43.395,0,0,0
0.425,-43.286,0,0,0
0.430,-43.395,0,0,0
0.435,-42.743,0,0,0
0.440,-43.721,0,0,0
0.445,-44.481,0,0,0
0.450,-42.960,0,0,0
0.455,-43.395,0,0,0
0.460,-44.373,0,0,0
0.465,-44.373,0,0,0
0.470,-44.047,0,0,0
0.475,-44.481,0,0,0
