=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:01:08 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
0,-36.660,0,0,1
0.005,-36.226,0,0,1
0.010,-36.443,0,0,1
0.015,-37.855,0,0,1
0.020,-37.421,0,0,1
0.025,-37.312,0,0,1
0.030,-37.529,0,0,1
0.035,-38.833,0,0,1
0.040,-38.507,0,0,1
0.045,-38.398,0,0,1
0.050,-38.181,0,0,1
0.055,-39.267,0,0,1
0.060,-38.507,0,0,1
0.065,-38.398,0,0,1
0.070,-38.507,0,0,1
0.075,-39.702,0,0,1
0.080,-38.398,0,0,1
0.085,-38.833,0,0,1
0.090,-39.593,0,0,1
0.095,-39.702,0,0,1
0.100,-38.941,0,0,1
0.105,-39.593,0,0,1
0.110,-40.897,0,0,1
0.115,-40.679,0,0,1
0.120,-40.897,0,0,1
0.125,-41.005,0,0,1
0.130,-42.635,0,0,1
0.135,-42.635,0,0,1
0.140,-41.983,0,0,1
0.145,-42.635,0,0,1
0.150,-43.069,0,0,1
0.155,-43.069,0,0,1
0.160,-43.178,0,0,1
0.165,-43.178,0,0,1
0.170,-43.721,0,0,1
0.175,-44.264,0,0,1
0.180,-43.286,0,0,1
0.185,-43.504,0,0,1
0.190,-44.590,0,0,1
0.195,-44.698,0,0,1
0.200,-44.155,0,0,1
0.205,-44.698,0,0,1
0.210,-45.676,0,0,1
0.215,-45.133,0,0,1
0.220,-44.698,0,0,1
0.225,-43.938,0,0,1
0.230,-44.698,0,0,1
0.235,-45.024,0,0,1
0.240,-45.676,0,0,1
0.245,-46.219,0,0,1
0.250,-47.088,0,0,1
0.255,-45.676,0,0,1
0.260,-45.785,0,0,1
0.265,-45.350,0,0,1
0.270,-45.350,0,0,1
0.275,-44.373,0,0,1
0.280,-43.829,0,0,1
0.285,-43.829,0,0,1
0.290,-44.264,0,0,1
0.295,-42.852,0,0,1
0.300,-42.960,0,0,1
0.305,-42.309,0,0,1
0.310,-42.852,0,0,1
0.315,-41.222,0,0,1
0.320,-41.114,0,0,1
0.325,-41.005,0,0,1
0.330,-39.919,0,0,1
0.335,-40.462,0,0,1
0.340,-38.072,0,0,1
0.345,-37.746,0,0,1
0.350,-36.226,0,0,1
0.355,-34.162,0,0,1
0.360,-33.293,0,0,1
0.365,-32.858,0,0,1
0.370,-31.120,0,0,1
0.375,-29.491,0,0,1
0.380,-28.405,0,0,1
0.385,-27.536,0,0,1
0.390,-27.318,0,0,0
0.395,-25.254,0,0,0
0.400,-25.037,0,0,0
0.405,-26.123,0,0,0
0.410,-25.146,0,0,0
0.415,-24.603,0,0,0
0.420,-25.254,0,0,0
0.425,-27.536,0,0,0
0.430,-29.382,0,0,0
0.435,-31.881,0,0,0
0.440,-33.836,0,0,0
0.445,-39.050,0,0,0
0.450,-39.810,0,0,0
0.455,-42.309,0,0,0
0.460,-45.133,0,0,0
0.465,-47.414,0,0,0
0.470,-49.478,0,0,0
0.475,-50.782,0,0,0
0.480,-52.085,0,0,0
0.485,-53.063,0,0,0
0.490,-52.302,0,0,0
0.495,-51.216,0,0,0
0.500,-50.021,0,0,0
0.505,-49.369,0,0,0
0.510,-47.957,0,0,0
0.515,-46.762,0,0,0
0.520,-45.567,0,0,0
0.525,-45.785,0,0,0
0.530,-44.155,0,0,0
0.535,-42.743,0,0,0
0.540,-42.526,0,0,0
0.545,-41.657,0,0,0
0.550,-40.353,0,0,0
0.555,-40.571,0,0,0
0.560,-41.331,0,0,0
0.565,-41.222,0,0,0
0.570,-41.331,0,0,0
0.575,-39.702,0,0,0
0.580,-40.245,0,0,0
0.585,-40.136,0,0,0
0.590,-39.050,0,0,0
0.595,-39.267,0,0,0
0.600,-39.702,0,0,0
0.605,-38.615,0,0,0
0.610,-38.290,0,0,0
