=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.09.18 11:04:32 =~=~=~=~=~=~=~=~=~=~=~=
time,session_info.load_cell_force,toe_triggered,mid_triggered,heel_triggered
0,-38.181,0,0,0
0.005,-38.398,0,0,0
0.010,-39.593,0,0,0
0.015,-38.833,0,0,0
0.020,-38.507,0,0,0
0.025,-37.855,0,0,0
0.030,-38.724,0,0,0
0.035,-38.615,0,0,0
0.040,-38.507,0,0,0
0.045,-38.181,0,0,0
0.050,-38.724,0,0,0
0.055,-38.507,0,0,0
0.060,-37.855,0,0,0
0.065,-38.072,0,0,0
0.070,-39.593,0,0,0
0.075,-38.507,0,0,0
0.080,-38.290,0,0,0
0.085,-38.181,0,0,0
0.090,-39.050,0,0,0
0.095,-38.072,0,0,0
0.100,-38.072,0,0,0
0.105,-38.181,0,0,0
0.110,-39.159,0,0,0
0.115,-37.855,0,0,0
0.120,-37.964,0,0,0
0.125,-37.964,0,0,0
0.130,-39.050,0,0,0
0.135,-38.507,0,0,0
0.140,-38.181,0,0,0
0.145,-37.746,0,0,0
0.150,-39.702,0,0,0
0.155,-37.964,0,0,0
0.160,-37.746,0,0,0
0.165,-38.072,0,0,0
0.170,-38.724,0,0,0
0.175,-38.398,0,0,0
0.180,-37.638,0,0,0
0.185,-38.072,0,0,0
0.190,-38.507,0,0,1
0.195,-38.181,0,0,1
0.200,-38.181,0,0,1
0.205,-38.615,0,0,1
0.210,-38.398,0,0,1
0.215,-38.615,0,0,1
0.220,-37.746,0,0,1
0.225,-38.507,0,0,1
0.230,-37.964,0,0,1
0.235,-37.964,0,0,1
0.240,-37.638,0,0,1
0.245,-38.833,0,0,1
0.250,-37.746,0,0,1
0.255,-37.529,0,0,1
0.260,-37.312,0,0,1
0.265,-38.072,0,0,1
0.270,-37.746,0,0,1
0.275,-36.117,0,0,1
0.280,-36.334,0,0,1
0.285,-37.746,0,0,1
0.290,-36.443,0,0,1
0.295,-36.552,0,0,1
0.300,-36.334,0,0,1
0.305,-36.660,0,0,1
0.310,-36.877,0,0,1
0.315,-36.117,0,0,1
0.320,-37.203,0,0,1
0.325,-37.746,0,0,1
0.330,-37.964,0,0,1
0.335,-38.072,0,0,1
0.340,-38.398,0,0,1
0.345,-40.028,0,0,1
0.350,-39.484,0,0,1
0.355,-39.593,0,0,1
0.360,-39.376,0,0,1
0.365,-40.897,0,0,1
0.370,-39.593,0,0,1
0.375,-40.028,0,0,1
0.380,-39.810,0,0,1
0.385,-40.897,0,0,1
0.390,-39.702,0,0,1
0.395,-39.810,0,0,1
0.400,-39.919,0,0,1
0.405,-41.222,0,0,1
0.410,-40.136,0,0,1
0.415,-40.245,0,0,1
0.420,-40.462,0,0,1
0.425,-42.200,0,0,1
0.430,-40.353,0,0,1
0.435,-40.679,0,0,1
0.440,-40.353,0,0,1
0.445,-40.571,0,0,1
0.450,-40.679,0,0,1
0.455,-40.245,0,0,1
0.460,-40.571,0,0,1
0.465,-41.222,0,0,1
0.470,-40.788,0,0,1
0.475,-40.353,0,0,1
0.480,-41.005,0,0,1
0.485,-40.788,0,0,1
0.490,-40.679,0,0,1
0.495,-40.897,0,0,1
0.500,-41.114,0,0,1
0.505,-41.440,0,0,1
0.510,-41.222,0,0,1
0.515,-41.005,0,0,1
0.520,-42.417,0,0,1
0.525,-41.983,0,0,1
0.530,-41.440,0,0,1
0.535,-41.983,0,0,1
0.540,-43.286,0,0,1
0.545,-42.852,0,0,1
0.550,-42.743,0,0,1
0.555,-43.069,0,0,1
0.560,-44.047,0,0,1
0.565,-43.829,0,0,1
0.570,-43.612,0,0,1
0.575,-43.612,0,0,1
0.580,-45.024,0,0,1
0.585,-43.504,0,0,1
0.590,-43.721,0,0,1
0.595,-43.721,0,0,1
0.600,-44.373,0,0,1
0.605,-43.612,0,0,1
0.610,-43.395,0,0,1
0.615,-43.721,0,0,1
