Time(ms),Force(N),Toe sensor,Mid foot sensor,Heel sensor,normalized_time
0.0,-46.111,0,0,0,0.0
0.005,-46.328,0,0,0,0.003968253968253968
0.01,-47.414,0,0,0,0.007936507936507936
0.015,-47.414,0,0,0,0.011904761904761904
0.02,-45.893,0,0,0,0.015873015873015872
0.025,-45.893,0,0,0,0.019841269841269844
0.03,-46.111,0,0,0,0.023809523809523808
0.035,-46.871,0,0,0,0.02777777777777778
0.04,-45.785,0,0,0,0.031746031746031744
0.045,-45.676,0,0,0,0.03571428571428571
0.05,-46.545,0,0,0,0.03968253968253969
0.055,-46.762,0,0,0,0.04365079365079365
0.06,-46.111,0,0,0,0.047619047619047616
0.065,-46.002,0,0,0,0.05158730158730159
0.07,-47.088,0,0,0,0.05555555555555556
0.075,-47.414,0,0,0,0.05952380952380952
0.08,-46.111,0,0,0,0.06349206349206349
0.085,-46.002,0,0,0,0.06746031746031747
0.09,-46.654,0,0,0,0.07142857142857142
0.095,-46.545,0,0,0,0.07539682539682539
0.1,-46.002,0,0,0,0.07936507936507937
0.105,-46.328,0,0,0,0.08333333333333333
0.11,-47.523,0,0,0,0.0873015873015873
0.115,-46.871,0,0,0,0.09126984126984128
0.12,-45.785,0,0,0,0.09523809523809523
0.125,-46.436,0,0,0,0.0992063492063492
0.13,-47.414,0,0,0,0.10317460317460318
0.135,-47.088,0,0,0,0.10714285714285715
0.14,-46.328,0,0,0,0.11111111111111112
0.145,-46.545,0,0,0,0.11507936507936507
0.15,-47.414,0,0,0,0.11904761904761904
0.155,-46.98,0,0,0,0.12301587301587301
0.16,-46.436,0,0,0,0.12698412698412698
0.165,-46.654,0,0,0,0.13095238095238096
0.17,-47.197,0,0,0,0.13492063492063494
0.175,-46.654,0,0,0,0.13888888888888887
0.18,-46.219,0,0,0,0.14285714285714285
0.185,-46.328,0,0,0,0.14682539682539683
0.19,-46.98,0,0,0,0.15079365079365079
0.195,-46.111,0,0,0,0.15476190476190477
0.2,-46.219,0,0,0,0.15873015873015875
0.205,-47.523,0,0,0,0.16269841269841268
0.21,-46.762,0,0,0,0.16666666666666666
0.215,-46.436,0,0,0,0.17063492063492064
0.22,-46.111,0,0,0,0.1746031746031746
0.225,-46.871,0,0,0,0.17857142857142858
0.23,-47.849,0,0,0,0.18253968253968256
0.235,-46.002,0,0,0,0.18650793650793648
0.24,-46.002,0,0,0,0.19047619047619047
0.245,-46.654,0,0,0,0.19444444444444445
0.25,-47.088,0,0,0,0.1984126984126984
0.255,-45.133,0,0,0,0.20238095238095238
0.26,-44.916,0,0,0,0.20634920634920637
0.265,-45.242,0,0,0,0.21031746031746032
0.27,-44.047,0,0,0,0.2142857142857143
0.275,-43.612,0,0,0,0.21825396825396828
0.28,-43.069,0,0,0,0.22222222222222224
0.285,-43.938,0,0,0,0.22619047619047616
0.29,-43.069,0,0,0,0.23015873015873015
0.295,-42.526,0,0,0,0.2341269841269841
0.3,-42.526,0,0,0,0.23809523809523808
0.305,-43.178,0,0,0,0.24206349206349206
0.31,-42.852,0,0,0,0.24603174603174602
0.315,-42.309,0,0,0,0.25
0.32,-41.548,0,0,0,0.25396825396825395
0.325,-42.091,0,0,0,0.25793650793650796
0.33,-41.44,0,0,0,0.2619047619047619
0.335,-41.331,0,0,0,0.26587301587301587
0.34,-40.788,0,0,0,0.2698412698412699
0.345,-42.091,0,0,0,0.2738095238095238
0.35,-41.548,0,0,0,0.27777777777777773
0.355,-40.679,0,0,0,0.28174603174603174
0.36,-41.657,0,0,0,0.2857142857142857
0.365,-42.526,0,0,0,0.28968253968253965
0.37,-41.874,0,0,0,0.29365079365079366
0.375,-42.526,0,0,0,0.2976190476190476
0.38,-42.635,0,0,0,0.30158730158730157
0.385,-43.504,0,0,0,0.3055555555555556
0.39,-43.069,0,0,0,0.30952380952380953
0.395,-42.635,0,0,0,0.3134920634920635
0.4,-42.743,0,0,0,0.3174603174603175
0.405,-43.938,0,0,0,0.32142857142857145
0.41,-42.96,0,0,0,0.32539682539682535
0.415,-42.852,0,0,0,0.32936507936507936
0.42,-43.395,0,0,0,0.3333333333333333
0.425,-43.286,0,0,0,0.33730158730158727
0.43,-43.395,0,0,0,0.3412698412698413
0.435,-42.743,0,0,0,0.34523809523809523
0.44,-43.721,0,0,0,0.3492063492063492
0.445,-44.481,0,0,0,0.3531746031746032
0.45,-42.96,0,0,0,0.35714285714285715
0.455,-43.395,0,0,0,0.3611111111111111
0.46,-44.373,0,0,0,0.3650793650793651
0.465,-44.373,0,0,0,0.36904761904761907
0.47,-44.047,0,0,0,0.37301587301587297
0.475,-44.481,0,0,0,0.376984126984127
0.48,-45.459,0,0,0,0.38095238095238093
0.485,-46.436,0,0,0,0.3849206349206349
0.49,-45.35,0,0,0,0.3888888888888889
0.495,-46.654,0,0,0,0.39285714285714285
0.5,-48.066,0,0,1,0.3968253968253968
0.505,-48.392,0,0,1,0.4007936507936508
0.51,-48.392,0,0,1,0.40476190476190477
0.515,-48.392,0,0,1,0.4087301587301587
