Time(ms),Force(N),Toe sensor,Mid foot sensor,Heel sensor,normalized_time
0.845,-21.453,0,0,0,0.0
0.85,-21.778,0,0,0,0.0038461538461538494
0.855,-21.344,0,0,0,0.007692307692307699
0.86,-20.909,0,0,0,0.011538461538461548
0.865,-19.823,0,0,0,0.015384615384615398
0.87,-19.823,0,0,0,0.019230769230769246
0.875,-19.063,0,0,0,0.023076923076923096
0.88,-16.673,0,0,0,0.026923076923076945
0.885,-15.37,0,0,0,0.030769230769230795
0.89,-12.871,0,0,0,0.034615384615384645
0.895,-11.894,0,0,0,0.03846153846153849
0.9,-15.804,0,0,0,0.042307692307692345
0.905,-22.865,0,0,0,0.04615384615384619
0.91,-32.532,0,0,0,0.050000000000000044
0.915,-39.376,0,0,0,0.05384615384615389
0.92,-41.005,0,0,0,0.057692307692307744
0.925,-41.222,0,0,0,0.06153846153846159
0.93,-43.286,0,0,0,0.06538461538461544
0.935,-45.459,0,0,0,0.06923076923076929
0.94,-47.631,0,0,0,0.07307692307692305
0.945,-50.021,0,0,0,0.0769230769230769
0.95,-51.976,0,0,0,0.08076923076923075
0.955,-52.085,0,0,0,0.0846153846153846
0.96,-51.976,0,0,0,0.08846153846153845
0.965,-52.52,0,0,0,0.0923076923076923
0.97,-52.954,0,0,0,0.09615384615384615
0.975,-51.542,0,0,0,0.1
0.98,-51.433,0,0,0,0.10384615384615385
0.985,-51.868,0,0,0,0.1076923076923077
0.99,-52.085,0,0,0,0.11153846153846154
0.995,-51.433,0,0,0,0.11538461538461539
1.0,-49.913,0,0,0,0.11923076923076925
1.005,-50.999,0,0,0,0.12307692307692301
1.01,-51.976,0,0,0,0.12692307692307694
1.015,-50.238,0,0,0,0.13076923076923072
1.02,-50.021,0,0,0,0.13461538461538464
1.025,-51.433,0,0,0,0.1384615384615384
1.03,-50.456,0,0,0,0.14230769230769236
1.035,-50.564,0,0,0,0.1461538461538461
1.04,-49.695,0,0,0,0.15000000000000005
1.045,-50.89,0,0,0,0.1538461538461538
1.05,-51.542,0,0,0,0.15769230769230774
1.055,-51.651,0,0,0,0.1615384615384615
1.06,-52.302,0,0,0,0.16538461538461544
1.065,-52.52,0,0,0,0.1692307692307692
1.07,-52.52,0,0,0,0.17307692307692313
1.075,-51.216,0,0,0,0.1769230769230769
1.08,-51.325,0,0,0,0.18076923076923085
1.085,-52.085,0,0,0,0.1846153846153846
1.09,-51.325,0,0,0,0.18846153846153854
1.095,-49.478,0,0,0,0.1923076923076923
1.1,-48.609,0,0,0,0.19615384615384623
1.105,-47.414,0,0,0,0.2
1.11,-46.762,0,0,0,0.20384615384615393
1.115,-44.155,0,0,0,0.2076923076923077
1.12,-44.373,0,0,0,0.21153846153846165
1.125,-44.59,0,0,0,0.2153846153846154
1.13,-43.395,0,0,0,0.21923076923076917
1.135,-43.069,0,0,0,0.2230769230769231
1.14,-42.635,0,0,0,0.22692307692307687
1.145,-42.852,0,0,0,0.23076923076923078
1.15,-42.743,0,0,0,0.23461538461538456
1.155,-42.2,0,0,0,0.2384615384615385
1.16,-43.286,0,0,0,0.24230769230769225
1.165,-45.676,0,0,0,0.2461538461538462
1.17,-44.59,0,0,0,0.24999999999999994
1.175,-43.612,0,0,0,0.2538461538461539
1.18,-41.766,0,0,0,0.25769230769230766
1.185,-40.571,0,0,0,0.2615384615384616
1.19,-38.833,0,0,0,0.26538461538461533
1.195,-37.203,0,0,0,0.2692307692307693
1.2,-37.095,0,0,0,0.27307692307692305
1.205,-36.986,0,0,0,0.276923076923077
1.21,-35.357,0,0,0,0.28076923076923077
1.215,-34.705,0,0,0,0.2846153846153847
1.22,-35.139,0,0,0,0.28846153846153844
1.225,-35.031,0,0,0,0.2923076923076924
1.23,-34.162,0,0,0,0.29615384615384616
1.235,-34.379,0,0,0,0.3000000000000001
1.24,-36.334,0,0,0,0.3038461538461539
1.245,-38.507,0,0,0,0.30769230769230776
1.25,-37.529,0,0,0,0.31153846153846154
1.255,-38.398,0,0,0,0.3153846153846153
1.26,-38.941,0,0,0,0.31923076923076926
1.265,-39.484,0,0,0,0.323076923076923
1.27,-38.181,0,0,0,0.3269230769230769
1.275,-36.986,0,0,0,0.3307692307692307
1.28,-37.421,0,0,0,0.33461538461538465
1.285,-35.031,0,0,0,0.3384615384615384
1.29,-32.207,0,0,0,0.34230769230769237
1.295,-29.817,0,0,0,0.3461538461538461
1.3,-28.513,0,0,0,0.35000000000000003
1.305,-25.254,0,0,0,0.3538461538461538
1.31,-23.082,0,0,0,0.35769230769230775
1.315,-20.801,0,0,0,0.36153846153846153
1.32,-19.497,0,0,0,0.3653846153846154
1.325,-19.063,0,0,0,0.3692307692307692
1.33,-15.695,0,0,0,0.37307692307692314
1.335,-15.37,0,0,0,0.3769230769230769
1.34,-16.89,0,0,0,0.38076923076923086
1.345,-15.261,0,0,0,0.3846153846153846
1.35,-14.392,0,0,0,0.3884615384615385
1.355,-15.261,0,0,0,0.3923076923076923
1.36,-15.913,0,0,0,0.39615384615384625
1.365,-15.261,0,0,0,0.4
1.37,-15.804,0,0,0,0.4038461538461539
1.375,-16.564,0,0,0,0.4076923076923077
1.38,-18.52,0,0,0,0.41153846153846146
1.385,-19.389,0,0,0,0.4153846153846154
1.39,-20.258,0,0,0,0.4192307692307692
1.395,-20.258,0,0,0,0.4230769230769231
1.4,-21.67,0,0,0,0.42692307692307685
1.405,-20.584,0,0,0,0.4307692307692308
1.41,-19.171,0,0,0,0.43461538461538457
1.415,-19.171,0,0,0,0.4384615384615385
1.42,-23.082,0,0,0,0.44230769230769224
1.425,-25.146,0,0,0,0.4461538461538462
1.43,-27.427,0,0,0,0.44999999999999996
1.435,-30.251,0,0,0,0.4538461538461539
1.44,-32.315,0,0,0,0.4576923076923077
1.445,-31.555,0,0,0,0.46153846153846156
