time,ankle_angle,ground_force_x,ground_force_y,ground_force_z,simulated_act_force,heel_strike,midfoot_strike,toe_strike
3.38,0.04374665147110335,-5.324922638430355,3.646604091660201,0.3222158820113298,0.0,0,0,0
3.385,0.04015193483202706,-6.630519385915062,5.156770381783327,0.5704213654240309,0.0,0,0,0
3.39,0.0335018666036726,-8.895580881913453,7.795555076418197,0.905926616461278,0.0,0,0,0
3.395,0.0278901729473795,-13.37069044570894,12.89811463397801,1.085042585602985,1.0,1,0,0
3.4,0.02409525148860592,-19.80267272515483,21.0371805442485,0.4569365533738414,2.0,1,0,0
3.405,0.02037242293645636,-15.63307328970871,31.73937794322408,-1.390883305035254,3.0,1,0,0
3.41,0.01669320324328005,-2.352429989756767,48.6557870505735,-2.175889712606494,4.0,1,0,0
3.415,0.01399223158691654,5.716886538037232,82.28002876612659,-0.7848510462820311,8.0,1,0,0
3.42,0.01194856675949318,7.550781551196865,132.2888614780598,2.667585103696404,13.0,1,0,0
3.425,0.009780823090815849,5.351172622835032,183.8453844306994,5.370216803069962,18.0,1,0,0
3.43,0.007265867598601039,1.176185591056409,226.1709696824638,7.535542999552662,22.0,1,0,0
3.435,0.004687946970855172,-3.814153262306334,257.0640343487295,9.528858830479091,25.0,1,0,0
3.44,0.002454414219139722,-10.34270097183998,278.3993864387051,10.22868966595267,27.0,1,0,0
3.445,0.0006853470112855309,-18.0441725516784,293.5386204499407,9.65346804238016,29.0,1,0,0
3.45,-0.0006481549968612166,-25.94262547750899,306.1598505392111,8.053395355657619,30.0,1,0,0
3.455,-0.001499671555988846,-33.44128265256766,319.0647797119059,5.653157593957109,31.0,1,0,0
3.46,-0.00180755682457967,-40.09775161175799,333.4550334263504,2.6593912001578,33.0,1,0,0
3.465,-0.001539291563735445,-45.87472379527156,350.1638401994898,-0.7841084810311171,35.0,1,0,0
3.47,-0.0006766313441336491,-51.53713411945193,371.3599460183766,-4.490553835283802,37.0,1,0,0
3.475,0.0008016402638068021,-57.52018077538216,400.5152107941082,-8.224766810833197,40.0,1,0,0
3.48,0.002908718502604435,-63.65700181836817,437.9816665260067,-11.93781050065214,43.0,1,1,0
