Time(ms),Force(N),Toe sensor,Mid foot sensor,Heel sensor,normalized_time
2.9,-18.846,0,0,0,0.0
2.905,-20.801,0,0,0,0.004115226337448471
2.91,-20.692,0,0,0,0.008230452674897307
2.915,-19.389,0,0,0,0.012345679012345779
2.92,-18.628,0,0,0,0.01646090534979425
2.925,-17.433,0,0,0,0.02057613168724272
2.93,-18.628,0,0,0,0.024691358024691558
2.935,-29.6,0,0,0,0.028806584362140026
2.94,-45.024,0,0,0,0.0329218106995885
2.945,-51.216,0,0,0,0.03703703703703697
2.95,-54.258,0,0,0,0.041152263374485805
2.955,-56.104,0,0,0,0.045267489711934276
2.96,-57.516,0,0,0,0.04938271604938275
2.965,-60.666,0,0,0,0.05349794238683122
2.97,-59.797,0,0,0,0.05761316872428005
2.975,-59.146,0,0,0,0.061728395061728523
2.98,-55.887,0,0,0,0.065843621399177
2.985,-56.104,0,0,0,0.06995884773662547
2.99,-52.628,0,0,0,0.0740740740740743
2.995,-50.021,0,0,0,0.07818930041152278
3.0,-47.849,0,0,0,0.08230452674897125
3.005,-46.219,0,0,0,0.08641975308641972
3.01,-43.829,0,0,0,0.09053497942386819
3.015,-41.657,0,0,0,0.09465020576131702
3.02,-40.462,0,0,0,0.0987654320987655
3.025,-40.245,0,0,0,0.10288065843621397
3.03,-39.81,0,0,0,0.10699588477366244
3.035,-38.398,0,0,0,0.11111111111111127
3.04,-38.615,0,0,0,0.11522633744855974
3.045,-39.484,0,0,0,0.11934156378600821
3.05,-40.679,0,0,0,0.12345679012345669
3.055,-42.635,0,0,0,0.12757201646090552
3.06,-44.807,0,0,0,0.131687242798354
3.065,-48.283,0,0,0,0.13580246913580246
3.07,-49.261,0,0,0,0.13991769547325095
3.075,-49.913,0,0,0,0.14403292181069977
3.08,-52.194,0,0,0,0.14814814814814825
3.085,-52.845,0,0,0,0.1522633744855967
3.09,-51.976,0,0,0,0.1563786008230452
3.095,-53.606,0,0,0,0.160493827160494
3.1,-54.909,0,0,0,0.1646090534979425
3.105,-54.583,0,0,0,0.16872427983539096
3.11,-53.063,0,0,0,0.17283950617283944
3.115,-51.433,0,0,0,0.17695473251028826
3.12,-50.673,0,0,0,0.18106995884773674
3.125,-49.043,0,0,0,0.1851851851851852
3.13,-46.436,0,0,0,0.1893004115226337
3.135,-44.916,0,0,0,0.19341563786008215
3.14,-43.395,0,0,0,0.197530864197531
3.145,-40.788,0,0,0,0.20164609053497945
3.15,-39.81,0,0,0,0.20576131687242794
3.155,-38.398,0,0,0,0.2098765432098764
3.16,-38.615,0,0,0,0.21399176954732524
3.165,-36.769,0,0,0,0.21810699588477372
3.17,-36.552,0,0,0,0.22222222222222218
3.175,-36.66,0,0,0,0.22633744855967064
3.18,-39.919,0,0,0,0.23045267489711949
3.185,-38.29,0,0,0,0.23456790123456797
3.19,-38.507,0,0,0,0.23868312757201643
