Time(ms),Force(N),Toe sensor,Mid foot sensor,Heel sensor,normalized_time
4.54,-17.759,0,0,0,0.0
4.545,-17.759,0,0,0,0.003984063745019836
4.55,-18.954,0,0,0,0.007968127490039672
4.555,-18.846,0,0,0,0.011952191235059507
4.56,-17.216,0,0,0,0.015936254980079344
4.565,-16.13,0,0,0,0.019920318725099886
4.57,-20.258,0,0,0,0.023904382470119723
4.575,-26.884,0,0,0,0.027888446215139556
4.58,-37.421,0,0,0,0.0318725099601594
4.585,-44.481,0,0,0,0.03585657370517923
4.59,-51.107,0,0,0,0.039840637450199064
4.595,-53.606,0,0,0,0.043824701195218904
4.6,-53.714,0,0,0,0.04780876494023874
4.605,-53.606,0,0,0,0.05179282868525928
4.61,-56.213,0,0,0,0.05577689243027911
4.615,-57.516,0,0,0,0.05976095617529895
4.62,-56.647,0,0,0,0.0637450199203188
4.625,-55.887,0,0,0,0.06772908366533863
4.63,-54.366,0,0,0,0.07171314741035846
4.635,-53.714,0,0,0,0.0756972111553783
4.64,-52.845,0,0,0,0.07968127490039813
4.645,-51.542,0,0,0,0.08366533864541796
4.65,-52.411,0,0,0,0.08764940239043852
4.655,-49.261,0,0,0,0.09163346613545835
4.66,-48.935,0,0,0,0.09561752988047818
4.665,-48.935,0,0,0,0.09960159362549802
4.67,-49.478,0,0,0,0.10358565737051785
4.675,-46.98,0,0,0,0.10756972111553768
4.68,-47.197,0,0,0,0.11155378486055752
4.685,-48.066,0,0,0,0.11553784860557736
4.69,-49.043,0,0,0,0.1195219123505979
4.695,-48.609,0,0,0,0.12350597609561774
4.7,-48.718,0,0,0,0.1274900398406376
4.705,-47.849,0,0,0,0.13147410358565742
4.71,-48.826,0,0,0,0.13545816733067725
4.715,-47.74,0,0,0,0.1394422310756971
4.72,-47.523,0,0,0,0.14342629482071692
4.725,-47.523,0,0,0,0.14741035856573675
4.73,-47.088,0,0,0,0.1513944223107573
4.735,-46.871,0,0,0,0.15537848605577714
4.74,-46.762,0,0,0,0.15936254980079698
4.745,-47.631,0,0,0,0.1633466135458168
4.75,-47.523,0,0,0,0.16733067729083664
4.755,-46.111,0,0,0,0.17131474103585648
4.76,-44.264,0,0,0,0.1752988047808763
4.765,-45.024,0,0,0,0.17928286852589614
4.77,-44.264,0,0,0,0.18326693227091598
4.775,-43.504,0,0,0,0.18725099601593653
4.78,-43.395,0,0,0,0.19123505976095637
4.785,-44.155,0,0,0,0.1952191235059762
4.79,-42.635,0,0,0,0.19920318725099603
4.795,-41.114,0,0,0,0.20318725099601587
4.8,-41.766,0,0,0,0.2071713147410357
4.805,-47.088,0,0,0,0.21115537848605553
4.81,-60.015,0,0,0,0.21513944223107537
4.815,-63.491,0,0,0,0.21912350597609592
4.82,-59.797,0,0,0,0.22310756972111576
4.825,-50.999,0,0,0,0.2270916334661356
4.83,-44.047,0,0,0,0.23107569721115542
4.835,-43.612,0,0,0,0.23505976095617526
4.84,-48.609,0,0,0,0.2390438247011951
4.845,-55.778,0,0,0,0.24302788844621492
4.85,-57.299,0,0,0,0.24701195219123476
4.855,-55.127,0,0,0,0.2509960159362553
4.86,-50.021,0,0,0,0.2549800796812752
4.865,-46.219,0,0,0,0.258964143426295
4.87,-44.155,0,0,0,0.26294820717131484
4.875,-43.504,0,0,0,0.26693227091633465
4.88,-42.526,0,0,0,0.2709163346613545
4.885,-41.657,0,0,0,0.2749003984063743
4.89,-39.159,0,0,0,0.2788844621513942
4.895,-37.421,0,0,0,0.282868525896414
4.9,-36.552,0,0,0,0.28685258964143456
4.905,-34.814,0,0,0,0.29083665338645437
4.91,-34.27,0,0,0,0.29482071713147423
4.915,-32.858,0,0,0,0.29880478087649404
4.92,-32.532,0,0,0,0.3027888446215139
4.925,-31.229,0,0,0,0.3067729083665337
4.93,-26.992,0,0,0,0.31075697211155356
4.935,-25.254,0,0,0,0.31474103585657337
4.94,-23.951,0,0,0,0.31872509960159395
4.945,-21.453,0,0,0,0.32270916334661376
4.95,-18.411,0,0,0,0.3266932270916336
4.955,-15.37,0,0,0,0.3306772908366534
4.96,-13.306,0,0,0,0.3346613545816733
4.965,-11.894,0,0,0,0.3386454183266931
4.97,-11.133,0,0,0,0.34262948207171295
4.975,-11.785,0,0,0,0.34661354581673276
4.98,-13.414,0,0,0,0.35059760956175334
4.985,-14.175,0,0,0,0.35458167330677315
4.99,-13.957,0,0,0,0.358565737051793
4.995,-14.175,0,0,0,0.3625498007968128
5.0,-16.021,0,0,0,0.3665338645418327
5.005,-15.804,0,0,0,0.3705179282868525
5.01,-15.261,0,0,0,0.37450199203187234
5.015,-15.152,0,0,0,0.3784860557768922
5.02,-17.977,0,0,0,0.382470119521912
5.025,-21.235,0,0,0,0.38645418326693254
5.03,-24.929,0,0,0,0.3904382470119524
5.035,-28.187,0,0,0,0.3944223107569722
5.04,-32.424,0,0,0,0.39840637450199207
5.045,-31.338,0,0,0,0.40239043824701193
5.05,-29.925,0,0,0,0.40637450199203173
5.055,-26.992,0,0,0,0.4103585657370516
5.06,-25.58,0,0,1,0.4143426294820714
5.065,-24.603,0,0,1,0.41832669322709193
5.07,-23.734,0,0,1,0.4223107569721118
5.075,-24.494,0,0,1,0.42629482071713165
5.08,-26.558,0,0,1,0.43027888446215146
5.085,-27.427,0,0,1,0.4342629482071713
5.09,-27.644,0,0,1,0.4382470119521911
5.095,-27.97,0,0,1,0.442231075697211
5.1,-28.187,0,0,1,0.4462151394422308
5.105,-26.232,0,0,1,0.4501992031872514
5.11,-25.363,0,0,1,0.4541832669322712
5.115,-23.842,0,0,1,0.45816733067729104
5.12,-22.973,0,0,1,0.46215139442231085
5.125,-21.996,0,0,1,0.4661354581673307
5.13,-20.258,0,0,1,0.4701195219123505
5.135,-22.973,0,0,1,0.4741035856573704
5.14,-26.558,0,0,1,0.4780876494023902
5.145,-29.056,0,0,1,0.48207171314741004
5.15,-32.532,0,0,1,0.48605577689243057
5.155,-37.203,0,0,1,0.49003984063745043
5.16,-41.548,0,0,1,0.49402390438247024
5.165,-43.395,0,0,1,0.4980079681274901
5.17,-48.174,0,0,1,0.50199203187251
5.175,-49.804,0,0,1,0.5059760956175298
5.18,-48.935,0,0,1,0.5099601593625496
5.185,-45.567,0,0,1,0.5139442231075694
5.19,-44.155,0,0,1,0.51792828685259
5.195,-42.852,0,0,1,0.5219123505976098
5.2,-42.852,0,0,1,0.5258964143426297
5.205,-40.897,0,0,1,0.5298804780876495
5.21,-40.353,0,0,1,0.5338645418326693
5.215,-39.81,0,0,1,0.5378486055776891
5.22,-38.941,0,0,1,0.541832669322709
5.225,-38.181,0,0,1,0.5458167330677288
5.23,-39.05,0,0,1,0.5498007968127494
5.235,-42.2,1,0,1,0.5537848605577692
5.24,-43.504,1,0,1,0.557768924302789
5.245,-43.721,1,0,1,0.5617529880478088
5.25,-45.35,1,0,1,0.5657370517928287
5.255,-48.5,1,0,1,0.5697211155378485
5.26,-47.197,1,0,1,0.5737051792828683
5.265,-46.219,1,1,1,0.5776892430278883
5.27,-46.762,1,1,1,0.5816733067729081
5.275,-48.826,1,1,1,0.5856573705179285
5.28,-46.871,1,1,1,0.5896414342629485
5.285,-46.111,1,1,1,0.5936254980079683
5.29,-45.567,1,1,1,0.5976095617529881
5.295,-46.545,1,1,1,0.601593625498008
5.3,-46.111,1,1,1,0.6055776892430278
5.305,-45.35,1,1,1,0.6095617529880476
5.31,-44.916,1,1,0,0.6135458167330674
5.315,-45.242,1,1,0,0.617529880478088
5.32,-44.264,1,1,0,0.6215139442231078
5.325,-42.743,1,1,0,0.6254980079681277
5.33,-42.309,1,1,0,0.6294820717131475
5.335,-42.2,1,1,0,0.6334661354581673
5.34,-41.331,1,1,0,0.6374501992031871
5.345,-41.331,1,1,0,0.641434262948207
5.35,-40.353,1,1,0,0.6454183266932269
5.355,-41.548,1,1,0,0.6494023904382473
5.36,-40.571,1,1,0,0.6533864541832672
5.365,-40.679,1,1,0,0.657370517928287
5.37,-41.874,1,1,0,0.6613545816733069
5.375,-41.657,1,1,0,0.6653386454183268
5.38,-41.005,1,1,0,0.6693227091633466
5.385,-41.657,1,1,0,0.6733067729083664
5.39,-43.286,1,1,0,0.6772908366533862
5.395,-43.069,1,1,0,0.6812749003984061
5.4,-42.852,1,1,0,0.6852589641434266
5.405,-43.069,1,1,0,0.6892430278884465
5.41,-43.069,1,1,0,0.6932270916334663
5.415,-43.286,1,1,0,0.6972111553784861
5.42,-42.635,1,1,0,0.7011952191235059
5.425,-42.635,1,1,0,0.7051792828685258
5.43,-43.504,1,1,0,0.7091633466135456
5.435,-43.721,1,1,0,0.7131474103585654
5.44,-43.178,1,1,0,0.717131474103586
5.445,-43.504,1,1,0,0.7211155378486058
5.45,-43.938,1,1,0,0.7250996015936256
5.455,-44.264,1,1,0,0.7290836653386455
5.46,-44.59,1,1,0,0.7330677290836654
5.465,-45.133,1,1,0,0.7370517928286852
5.47,-46.545,1,1,0,0.741035856573705
5.475,-46.762,1,1,0,0.7450199203187249
5.48,-47.523,1,1,0,0.7490039840637454
5.485,-46.762,1,1,0,0.7529880478087653
5.49,-48.066,1,1,0,0.7569721115537851
5.495,-46.98,1,1,0,0.7609561752988049
5.5,-46.762,1,1,0,0.7649402390438247
5.505,-46.654,1,1,0,0.7689243027888446
5.51,-46.762,1,1,0,0.7729083665338644
5.515,-47.523,1,1,0,0.7768924302788842
5.52,-47.631,1,1,0,0.7808764940239041
5.525,-48.174,1,1,0,0.7848605577689246
5.53,-49.695,1,1,0,0.7888446215139444
5.535,-50.564,1,1,0,0.7928286852589643
5.54,-50.89,1,1,0,0.7968127490039841
5.545,-50.673,1,1,0,0.8007968127490039
5.55,-51.759,1,1,0,0.8047808764940239
5.555,-49.913,1,1,0,0.8087649402390437
5.56,-48.5,1,1,0,0.8127490039840635
5.565,-46.436,1,1,0,0.816733067729084
5.57,-46.219,1,1,0,0.8207171314741039
5.575,-45.133,1,1,0,0.8247011952191237
5.58,-45.459,1,1,0,0.8286852589641436
5.585,-45.676,1,1,0,0.8326693227091634
5.59,-48.066,1,1,0,0.8366533864541832
5.595,-46.111,1,1,0,0.840637450199203
5.6,-45.567,1,1,0,0.8446215139442229
5.605,-45.242,1,1,0,0.8486055776892434
5.61,-44.807,1,1,0,0.8525896414342633
5.615,-43.395,1,1,0,0.8565737051792831
5.62,-41.874,1,1,0,0.8605577689243029
5.625,-43.504,1,1,0,0.8645418326693227
5.63,-41.331,1,1,0,0.8685258964143426
5.635,-39.159,1,1,0,0.8725099601593624
5.64,-37.746,1,1,0,0.8764940239043822
5.645,-36.877,1,1,0,0.880478087649402
5.65,-35.465,1,1,0,0.8844621513944226
5.655,-33.401,1,1,0,0.8884462151394424
5.66,-32.098,1,1,0,0.8924302788844624
5.665,-31.12,1,1,0,0.8964143426294822
5.67,-30.143,1,1,0,0.900398406374502
5.675,-28.73,1,1,0,0.9043824701195218
5.68,-26.992,1,1,0,0.9083665338645417
5.685,-28.079,1,1,0,0.9123505976095615
5.69,-25.363,1,1,0,0.9163346613545821
5.695,-22.539,1,1,0,0.9203187250996019
5.7,-21.561,1,1,0,0.9243027888446217
5.705,-21.561,1,1,0,0.9282868525896415
5.71,-20.366,1,1,0,0.9322709163346614
5.715,-18.302,1,1,0,0.9362549800796812
5.72,-17.433,1,1,0,0.940239043824701
5.725,-17.542,1,1,0,0.9442231075697208
5.73,-16.999,1,1,0,0.9482071713147414
5.735,-15.37,1,1,0,0.9521912350597612
5.74,-15.261,1,1,0,0.9561752988047811
5.745,-14.826,1,1,0,0.9601593625498009
5.75,-16.564,1,1,0,0.9641434262948207
5.755,-15.695,1,1,0,0.9681274900398406
5.76,-15.478,1,1,0,0.9721115537848605
5.765,-16.999,1,1,0,0.9760956175298803
5.77,-18.194,1,1,0,0.9800796812749001
5.775,-20.149,1,1,0,0.9840637450199207
5.78,-21.453,1,1,0,0.9880478087649405
5.785,-22.865,1,1,0,0.9920318725099603
5.79,-21.67,1,1,0,0.9960159362549802
5.795,-20.475,1,0,0,1.0
