time,simulated_act_force,ankle_angle,ground_force_x,ground_force_y,ground_force_z,heel_force,lateral_force,toe_force
1.41,2.5016647608978144,0.0835060860002994,-4.523342891782236,4.019440049908185,1.365374356530394,0.0,0.0,0.0
1.4149999999999998,37.97797190485703,0.08257802575243775,-7.417886706792018,9.361616806592751,5.3268573444023986,0.15513914509916685,0.0,0.0
1.42,56.17333320918848,0.0780372786719724,-4.324094878920619,20.145940667606673,15.790556497495176,1.0,0.0,0.0
1.4249999999999998,37.88597912470536,0.0741146178607604,10.797412914921498,38.79964294516893,25.97589659954866,1.0,0.0,0.0
1.43,31.435587539677087,0.07230094860849262,23.511610510819104,78.6503797919224,33.29565001199832,1.0,0.0,0.0
1.4349999999999998,37.96468788947864,0.07120099208386425,14.558134823484112,155.87414449674634,35.34513418327004,1.0,0.0,0.0
1.44,47.74311295604676,0.0691853334366184,-5.240626623910625,246.50933466766418,33.16269201083539,1.0,0.0,0.0
1.4449999999999998,57.774806398335166,0.06607846340902573,-23.941715822468836,323.0586601137598,28.819695436329937,1.0,0.0,0.0
1.45,60.50000269242492,0.0627501888315243,-43.002474490801646,384.1474778999827,21.07884470845327,1.0,0.0,0.0
1.4549999999999998,60.500002664744656,0.059620036503773476,-58.78815394603458,434.91332943472685,15.354302266008158,1.0,0.0,0.0
1.46,60.50000239783865,0.05672614932228927,-71.27943522662636,480.6167806716392,11.14761210541955,1.0,0.0,0.0
1.4649999999999999,60.50000219357566,0.05413385414125955,-79.49436851482757,525.4232516832117,8.024763449636332,1.0,0.0,0.0
1.47,60.50000202908759,0.05195936801245471,-85.55933686274949,570.7170944505825,5.253422860947469,1.0,0.0,0.0
1.4749999999999999,60.50000190193837,0.05028552516156419,-91.30520191083048,614.7595156305537,1.3899251433774296,1.0,0.0,0.0
1.48,60.50000186876264,0.04916547993893179,-97.56183733888484,653.1953505735368,-4.2021613974636125,1.0,0.0,0.0
1.4849999999999999,60.50000234387754,0.04849268342262244,-103.67318598204477,688.8482584647588,-10.695907323835662,1.0,0.0,0.0
1.49,60.122360253326526,0.04826047280052441,-109.7904664045528,722.1489308885313,-18.292460317816733,1.0,0.0,0.0
1.4949999999999999,53.666718177637385,0.048587961427337706,-115.19113580877499,746.3386543504095,-26.907848956697045,1.0,0.0,0.0
1.5,46.68826752676926,0.049574844896834544,-118.91419320056593,760.9787762602826,-35.59253066146489,1.0,0.7925046117858218,0.0
1.505,41.534031134355935,0.051206824778465374,-121.25037017597491,769.4960119001103,-44.460296337585255,1.0,1.0,0.0
1.51,34.274090591230376,0.0534857383371354,-121.85290471845558,775.573426688411,-52.28925375016648,1.0,1.0,0.0
1.515,27.325795254459827,0.056320342914684865,-121.18891390130204,783.1312500483309,-58.8965756093453,1.0,1.0,0.0
1.52,21.809364574470003,0.059637301853885896,-119.49187776647462,793.1086243717307,-64.11375393258034,1.0,1.0,0.0
1.525,19.63253871770195,0.06337402891640419,-116.83219279985794,804.0856025062934,-67.70297952670376,1.0,1.0,0.0
1.5299999999999998,20.905453286818823,0.06743907786324244,-113.26396498845993,816.5908670589231,-69.87886373819131,1.0,1.0,0.0
1.535,20.036159328653067,0.07173599397205427,-109.07974206428676,831.7432736785737,-70.36850349616611,1.0,1.0,0.8784786274802819
1.54,18.538578988726687,0.07624334383159477,-104.61469539736093,848.5109377036767,-69.11767898007784,1.0,1.0,1.0
1.545,18.58769250405773,0.08104757168874237,-99.63717600089687,863.8764060137852,-67.03232545092574,1.0,1.0,1.0
1.5499999999999998,18.257402280185193,0.08603731713436447,-94.83030265250517,872.2882980117878,-64.05683176276285,1.0,1.0,1.0
1.555,17.032107163411176,0.0909904853559281,-89.81898246240969,873.1676248774704,-61.05691477685918,1.0,1.0,1.0
1.5599999999999998,16.777924003797413,0.09575457854406284,-84.42004693608862,870.4205316195529,-58.819239394877165,1.0,1.0,1.0
1.565,17.267415519800927,0.10031202946103111,-78.8992478834939,864.7971329124409,-57.24194241093206,1.0,1.0,1.0
1.5699999999999998,16.967211002995093,0.10468454067857395,-73.23981094125091,855.8185127575055,-56.262838193852566,1.0,1.0,1.0
1.575,16.503702058659854,0.10885240179136349,-67.5694609862147,844.0176460505236,-55.80280078180724,1.0,1.0,1.0
1.5799999999999998,15.978108973057122,0.11283442725808254,-61.99437462750061,830.38361640596,-55.74135973723627,1.0,1.0,1.0
1.585,15.38319362917184,0.11665189216942141,-56.50558669942574,815.5312405496595,-56.0350446557128,1.0,1.0,1.0
1.5899999999999999,14.67131901764065,0.12031409736409773,-51.21341837969128,799.8194211664908,-56.64022874881426,1.0,1.0,1.0
1.595,13.920475485325122,0.12383241561657829,-46.21657330141051,783.5191295798064,-57.3535734509656,1.0,1.0,1.0
1.5999999999999999,13.14778262741847,0.12722032715498166,-41.58221013121107,766.9835725874912,-57.92072096694162,1.0,1.0,1.0
1.605,12.473870378434846,0.130484354454132,-37.36005400588897,750.5802030130754,-58.152176710551444,1.0,1.0,1.0
1.6099999999999999,11.805912341498907,0.13363308504674482,-33.53521695883326,734.7327429298995,-57.970545702225756,1.0,1.0,1.0
1.615,11.119972236068607,0.13668771974946092,-29.900108506002244,719.7286488240106,-57.50107191369917,1.0,1.0,1.0
1.6199999999999999,10.421200758251409,0.13965919504026394,-26.332945803023865,705.7557494954799,-56.80437596326224,1.0,1.0,1.0
1.625,9.706527125197026,0.14255634710472273,-22.699768045775723,692.8996597512696,-55.88962109686196,1.0,1.0,1.0
1.63,9.083413715745612,0.14538368233413315,-18.96409699805856,681.1584179456637,-54.727540371005745,1.0,1.0,1.0
