Time(ms),Force(N),Toe sensor,Mid foot sensor,Heel sensor,normalized_time
1.765,-15.261,0,0,0,0.0
1.77,-14.718,0,0,0,0.003846153846153935
1.775,-15.261,0,0,0,0.007692307692307699
1.78,-14.501,0,0,0,0.011538461538461635
1.785,-13.957,0,0,0,0.015384615384615398
1.79,-15.152,0,0,0,0.019230769230769332
1.795,-17.651,0,0,0,0.023076923076923096
1.8,-16.347,0,0,0,0.026923076923077032
1.805,-15.37,0,0,0,0.030769230769230795
1.81,-16.021,0,0,0,0.03461538461538473
1.815,-17.433,0,0,0,0.03846153846153849
1.82,-21.235,0,0,0,0.04230769230769243
1.825,-28.73,0,0,0,0.04615384615384619
1.83,-36.334,0,0,0,0.05000000000000013
1.835,-47.631,0,0,0,0.05384615384615389
1.84,-54.04,0,0,0,0.05769230769230783
1.845,-55.996,0,0,0,0.06153846153846159
1.85,-55.887,0,0,0,0.06538461538461553
1.855,-56.321,0,0,0,0.06923076923076929
1.86,-54.801,0,0,0,0.07307692307692322
1.865,-54.583,0,0,0,0.07692307692307698
1.87,-54.583,0,0,0,0.08076923076923093
1.875,-54.909,0,0,0,0.08461538461538469
1.88,-51.651,0,0,0,0.08846153846153845
1.885,-50.673,0,0,0,0.09230769230769238
1.89,-48.066,0,0,0,0.09615384615384615
1.895,-46.762,0,0,0,0.10000000000000009
1.9,-44.264,0,0,0,0.10384615384615385
1.905,-43.395,0,0,0,0.10769230769230778
1.91,-43.938,0,0,0,0.11153846153846154
1.915,-44.264,0,0,0,0.11538461538461549
1.92,-43.178,0,0,0,0.11923076923076925
1.925,-43.395,0,0,0,0.12307692307692318
1.93,-44.047,0,0,0,0.12692307692307694
1.935,-46.545,0,0,0,0.1307692307692309
1.94,-45.35,0,0,0,0.13461538461538464
1.945,-47.631,0,0,0,0.13846153846153858
1.95,-49.913,0,0,0,0.14230769230769236
1.955,-51.107,0,0,0,0.14615384615384627
1.96,-51.325,0,0,0,0.15000000000000005
1.965,-51.542,0,0,0,0.15384615384615397
1.97,-53.063,0,0,0,0.15769230769230774
1.975,-52.628,0,0,0,0.1615384615384617
1.98,-51.759,0,0,0,0.16538461538461544
1.985,-51.542,0,0,0,0.16923076923076938
1.99,-52.302,0,0,0,0.17307692307692313
1.995,-51.107,0,0,0,0.17692307692307707
2.0,-50.564,0,0,0,0.18076923076923085
2.005,-49.695,0,0,0,0.1846153846153846
2.01,-48.935,0,0,0,0.18846153846153837
2.015,-47.414,0,0,0,0.19230769230769248
2.02,-45.024,0,0,0,0.19615384615384623
2.025,-44.481,0,0,0,0.2
2.03,-44.047,0,0,0,0.20384615384615376
2.035,-42.417,0,0,0,0.20769230769230787
2.04,-41.222,0,0,0,0.21153846153846165
2.045,-40.897,0,0,0,0.2153846153846154
2.05,-40.897,0,0,0,0.21923076923076917
2.055,-39.593,0,0,0,0.22307692307692326
2.06,-39.267,0,0,0,0.22692307692307703
2.065,-40.136,0,0,0,0.23076923076923078
2.07,-41.331,0,0,0,0.23461538461538456
2.075,-40.788,0,0,0,0.23846153846153867
2.08,-39.919,0,0,0,0.24230769230769242
2.085,-39.702,0,0,0,0.2461538461538462
2.09,-40.136,0,0,0,0.24999999999999994
2.095,-39.159,0,0,0,0.25384615384615405
2.1,-37.746,0,0,0,0.25769230769230783
2.105,-35.139,0,0,0,0.2615384615384616
2.11,-34.162,0,0,0,0.26538461538461533
2.115,-32.75,0,0,0,0.26923076923076944
2.12,-31.229,0,0,0,0.2730769230769232
2.125,-31.338,0,0,0,0.276923076923077
2.13,-30.794,0,0,0,0.28076923076923077
2.135,-28.948,0,0,0,0.2846153846153845
2.14,-28.73,0,0,0,0.2884615384615386
2.145,-29.382,0,0,0,0.2923076923076924
2.15,-28.405,0,0,0,0.29615384615384616
2.155,-27.97,0,0,0,0.29999999999999993
2.16,-29.056,0,0,0,0.30384615384615404
2.165,-30.251,0,0,0,0.30769230769230776
2.17,-30.903,0,0,0,0.31153846153846154
2.175,-31.12,0,0,0,0.3153846153846153
2.18,-30.794,0,0,0,0.31923076923076943
2.185,-32.315,0,0,0,0.3230769230769232
2.19,-32.207,0,0,0,0.3269230769230769
2.195,-31.229,0,0,0,0.3307692307692307
2.2,-30.469,0,0,0,0.3346153846153848
2.205,-30.143,0,0,0,0.3384615384615386
2.21,-28.948,0,0,0,0.34230769230769237
2.215,-26.449,0,0,0,0.3461538461538461
2.22,-24.711,0,0,0,0.3500000000000002
2.225,-23.734,0,0,0,0.353846153846154
2.23,-22.539,0,0,0,0.35769230769230775
2.235,-20.366,0,0,0,0.36153846153846153
2.24,-19.823,0,0,0,0.3653846153846156
2.245,-19.28,0,0,0,0.36923076923076936
2.25,-17.759,0,0,0,0.37307692307692314
2.255,-16.782,0,0,0,0.3769230769230769
2.26,-16.564,0,0,0,0.3807692307692307
2.265,-17.651,0,0,0,0.38461538461538475
2.27,-18.628,0,0,0,0.3884615384615385
2.275,-18.846,0,0,0,0.3923076923076923
2.28,-18.302,0,0,0,0.3961538461538461
2.285,-19.715,0,0,0,0.4000000000000002
2.29,-18.085,0,0,0,0.4038461538461539
2.295,-17.868,0,0,0,0.4076923076923077
2.3,-18.411,0,0,0,0.41153846153846146
2.305,-20.04,0,0,0,0.4153846153846156
2.31,-20.366,0,0,0,0.41923076923076935
2.315,-20.258,0,0,0,0.4230769230769231
2.32,-19.606,0,0,0,0.42692307692307685
2.325,-19.606,0,0,0,0.43076923076923096
2.33,-18.411,0,0,0,0.43461538461538474
2.335,-20.149,0,0,0,0.4384615384615385
2.34,-24.711,0,0,0,0.44230769230769224
2.345,-27.427,0,0,0,0.44615384615384635
2.35,-27.861,0,0,0,0.4500000000000001
2.355,-27.97,0,0,0,0.4538461538461539
2.36,-28.079,0,0,0,0.4576923076923077
2.365,-24.168,0,0,0,0.4615384615384618
2.37,-19.606,0,0,0,0.4653846153846155
2.375,-17.108,0,0,0,0.4692307692307693
2.38,-17.651,0,0,1,0.47307692307692306
2.385,-17.651,0,0,1,0.47692307692307684
2.39,-18.302,0,0,1,0.48076923076923095
2.395,-19.171,0,0,1,0.48461538461538467
2.4,-20.258,0,0,1,0.48846153846153845
2.405,-20.801,0,0,1,0.4923076923076922
2.41,-20.801,0,0,1,0.49615384615384633
2.415,-20.909,0,0,1,0.5000000000000001
2.42,-21.996,0,0,1,0.5038461538461538
2.425,-22.647,0,0,1,0.5076923076923077
2.43,-22.756,0,0,1,0.5115384615384617
2.435,-23.082,0,0,1,0.5153846153846154
2.44,-25.58,0,0,1,0.5192307692307693
2.445,-29.274,0,0,1,0.523076923076923
2.45,-32.207,0,0,1,0.5269230769230772
2.455,-35.031,0,0,1,0.5307692307692309
2.46,-38.724,0,0,1,0.5346153846153846
2.465,-40.788,0,0,1,0.5384615384615384
2.47,-43.395,0,0,1,0.5423076923076925
2.475,-44.807,0,0,1,0.5461538461538463
2.48,-46.111,0,0,1,0.55
2.485,-46.762,0,0,1,0.5538461538461538
2.49,-45.893,0,0,1,0.5576923076923079
2.495,-45.459,0,0,1,0.5615384615384617
2.5,-45.133,0,0,1,0.5653846153846155
2.505,-42.743,0,0,1,0.5692307692307692
2.51,-40.788,0,0,1,0.5730769230769229
2.515,-39.919,0,0,1,0.5769230769230771
2.52,-40.679,0,0,1,0.5807692307692308
2.525,-39.05,0,0,1,0.5846153846153846
2.53,-39.702,0,0,1,0.5884615384615384
2.535,-40.136,0,0,1,0.5923076923076924
2.54,-41.983,0,0,1,0.5961538461538463
2.545,-43.069,0,0,1,0.6
2.55,-45.133,0,0,1,0.6038461538461538
2.555,-46.219,0,0,1,0.6076923076923079
2.56,-48.5,0,0,1,0.6115384615384616
2.565,-49.261,0,0,1,0.6153846153846154
2.57,-47.414,0,0,1,0.6192307692307691
2.575,-49.261,0,0,1,0.6230769230769233
2.58,-47.849,0,0,1,0.626923076923077
2.585,-46.002,0,0,1,0.6307692307692307
2.59,-45.133,0,0,1,0.6346153846153846
2.595,-44.698,0,0,1,0.6384615384615386
2.6,-43.829,0,0,1,0.6423076923076925
2.605,-43.721,0,0,1,0.6461538461538462
2.61,-42.96,0,0,1,0.6499999999999999
2.615,-44.698,0,0,1,0.6538461538461541
2.62,-44.59,0,0,1,0.6576923076923078
2.625,-44.047,1,0,1,0.6615384615384616
2.63,-44.047,1,0,1,0.6653846153846154
2.635,-45.242,1,0,1,0.6692307692307691
2.64,-44.155,1,0,1,0.6730769230769232
2.645,-41.983,1,0,1,0.676923076923077
2.65,-42.2,1,0,1,0.6807692307692308
2.655,-43.395,1,0,1,0.6846153846153845
2.66,-43.504,1,0,0,0.6884615384615386
2.665,-42.852,1,0,0,0.6923076923076924
2.67,-43.721,1,0,0,0.6961538461538461
2.675,-46.111,1,0,0,0.7
2.68,-46.545,1,0,0,0.703846153846154
2.685,-46.328,1,0,0,0.7076923076923077
2.69,-45.35,1,0,0,0.7115384615384616
2.695,-44.481,1,0,0,0.7153846153846153
2.7,-43.178,1,0,0,0.7192307692307695
2.705,-41.657,1,1,0,0.7230769230769232
2.71,-41.005,1,1,0,0.7269230769230769
2.715,-40.353,1,1,0,0.7307692307692307
2.72,-39.919,1,1,0,0.7346153846153848
2.725,-39.267,1,1,0,0.7384615384615386
2.73,-39.702,1,1,0,0.7423076923076923
2.735,-40.897,1,1,0,0.7461538461538461
2.74,-40.788,1,1,0,0.7500000000000002
2.745,-41.331,1,1,0,0.7538461538461539
