Time(ms),Force(N),Toe sensor,Mid foot sensor,Heel sensor,normalized_time
4.335,-13.957,0,0,0,0.0
4.34,-15.695,0,0,0,0.004115226337448472
4.345,-16.13,0,0,0,0.008230452674896945
4.35,-15.478,0,0,0,0.012345679012345418
4.355,-16.782,0,0,0,0.01646090534979462
4.36,-17.759,0,0,0,0.020576131687243093
4.365,-16.13,0,0,0,0.024691358024691565
4.37,-14.935,0,0,0,0.028806584362140036
4.375,-16.89,0,0,0,0.03292181069958851
4.38,-23.082,0,0,0,0.03703703703703698
4.385,-31.446,0,0,0,0.04115226337448546
4.39,-38.833,0,0,0,0.04526748971193393
4.395,-47.631,0,0,0,0.0493827160493824
4.4,-51.216,0,0,0,0.0534979423868316
4.405,-53.063,0,0,0,0.05761316872428007
4.41,-55.344,0,0,0,0.06172839506172855
4.415,-56.865,0,0,0,0.06584362139917702
4.42,-58.603,0,0,0,0.06995884773662549
4.425,-58.168,0,0,0,0.07407407407407396
4.43,-58.494,0,0,0,0.07818930041152244
4.435,-60.123,0,0,0,0.08230452674897092
4.44,-58.711,0,0,0,0.08641975308642011
4.445,-56.104,0,0,0,0.09053497942386858
4.45,-54.04,0,0,0,0.09465020576131705
4.455,-52.628,0,0,0,0.09876543209876554
4.46,-50.564,0,0,0,0.10288065843621401
4.465,-47.414,0,0,0,0.10699588477366248
4.47,-46.654,0,0,0,0.11111111111111095
4.475,-46.328,0,0,0,0.11522633744855942
4.48,-45.676,0,0,0,0.11934156378600863
4.485,-44.373,0,0,0,0.1234567901234571
4.49,-44.155,0,0,0,0.12757201646090557
4.495,-43.504,0,0,0,0.13168724279835403
4.5,-43.178,0,0,0,0.13580246913580252
4.505,-42.526,0,0,0,0.13991769547325097
4.51,-42.743,0,0,0,0.14403292181069946
4.515,-44.373,0,0,0,0.14814814814814792
4.52,-44.59,0,0,0,0.1522633744855964
4.525,-45.133,0,0,0,0.1563786008230456
4.53,-45.567,0,0,0,0.16049382716049407
4.535,-46.98,0,0,0,0.16460905349794255
4.54,-48.826,0,0,0,0.168724279835391
4.545,-49.913,0,0,0,0.1728395061728395
4.55,-51.759,0,0,0,0.17695473251028798
4.555,-53.389,0,0,0,0.18106995884773644
4.56,-53.063,0,0,0,0.18518518518518493
4.565,-52.954,0,0,0,0.1893004115226341
4.57,-53.497,0,0,0,0.1934156378600826
4.575,-54.366,0,0,0,0.19753086419753108
4.58,-53.823,0,0,0,0.20164609053497953
4.585,-52.194,0,0,0,0.20576131687242802
4.59,-50.673,0,0,0,0.20987654320987648
4.595,-49.913,0,0,0,0.21399176954732496
4.6,-47.849,0,0,0,0.21810699588477342
4.605,-45.35,0,0,0,0.22222222222222263
4.61,-44.373,0,0,0,0.2263374485596711
4.615,-42.2,0,0,0,0.23045267489711957
4.62,-41.874,0,0,0,0.23456790123456805
4.625,-39.702,0,0,0,0.2386831275720165
4.63,-39.376,0,0,0,0.242798353909465
4.635,-37.746,0,0,0,0.24691358024691346
4.64,-37.312,0,0,0,0.25102880658436194
4.645,-38.398,0,0,0,0.2551440329218104
4.65,-41.005,0,0,0,0.25925925925925963
4.655,-40.679,0,0,0,0.26337448559670806
4.66,-40.462,0,0,0,0.26748971193415655
4.665,-39.05,0,0,0,0.27160493827160503
4.67,-40.788,0,0,0,0.2757201646090535
4.675,-40.245,0,0,0,0.27983539094650195
4.68,-39.81,0,0,0,0.28395061728395043
4.685,-40.136,0,0,0,0.2880658436213989
4.69,-41.44,0,0,0,0.2921810699588481
4.695,-41.005,0,0,0,0.2962962962962966
4.7,-39.593,0,0,0,0.30041152263374504
4.705,-38.615,0,0,0,0.30452674897119353
4.71,-38.507,0,0,0,0.308641975308642
4.715,-38.072,0,0,0,0.3127572016460905
4.72,-36.443,0,0,0,0.31687242798353893
4.725,-35.465,0,0,0,0.3209876543209874
4.73,-35.9,0,0,0,0.3251028806584366
4.735,-34.596,0,0,0,0.3292181069958851
4.74,-31.446,0,0,0,0.3333333333333336
4.745,-30.034,0,0,0,0.337448559670782
4.75,-28.622,0,0,0,0.3415637860082305
4.755,-27.536,0,0,0,0.345679012345679
4.76,-25.58,0,0,0,0.3497942386831275
4.765,-24.06,0,0,0,0.35390946502057596
4.77,-23.516,0,0,0,0.3580246913580244
4.775,-21.453,0,0,0,0.3621399176954736
4.78,-20.149,0,0,0,0.3662551440329221
4.785,-18.628,0,0,0,0.37037037037037057
4.79,-18.085,0,0,0,0.37448559670781906
4.795,-16.021,0,0,0,0.3786008230452675
4.8,-14.501,0,0,0,0.382716049382716
4.805,-13.306,0,0,0,0.38683127572016446
4.81,-13.414,0,0,0,0.39094650205761294
4.815,-13.632,0,0,0,0.39506172839506215
4.82,-14.609,0,0,0,0.3991769547325106
4.825,-15.804,0,0,0,0.40329218106995907
4.83,-15.804,0,0,0,0.40740740740740755
4.835,-14.935,0,0,0,0.41152263374485604
4.84,-15.044,0,0,0,0.41563786008230447
4.845,-16.456,0,0,0,0.41975308641975295
4.85,-17.108,0,0,0,0.42386831275720144
4.855,-17.216,0,0,0,0.42798353909465064
4.86,-16.999,0,0,0,0.43209876543209913
4.865,-22.104,0,0,0,0.43621399176954756
4.87,-25.798,0,0,0,0.44032921810699605
4.875,-26.341,0,0,0,0.44444444444444453
4.88,-24.277,0,0,0,0.448559670781893
4.885,-21.344,0,0,0,0.45267489711934145
4.89,-15.695,0,0,0,0.45679012345678993
4.895,-10.047,0,0,1,0.4609053497942384
4.9,-8.635,0,0,1,0.4650205761316876
4.905,-10.047,0,0,1,0.4691358024691361
4.91,-12.545,0,0,1,0.47325102880658454
4.915,-13.957,0,0,1,0.477366255144033
4.92,-14.935,0,0,1,0.4814814814814815
4.925,-17.433,0,0,1,0.48559670781893
4.93,-16.239,0,0,1,0.4897119341563785
4.935,-17.325,0,0,1,0.4938271604938269
4.94,-19.823,0,0,1,0.4979423868312761
4.945,-25.906,0,0,1,0.5020576131687245
4.95,-30.143,0,0,1,0.5061728395061731
4.955,-33.945,0,0,1,0.5102880658436215
4.96,-38.181,0,0,1,0.5144032921810701
4.965,-43.069,0,0,1,0.5185185185185185
4.97,-45.893,0,0,1,0.5226337448559669
4.975,-48.935,0,0,1,0.5267489711934155
4.98,-52.954,0,0,1,0.5308641975308647
4.985,-57.516,0,0,1,0.5349794238683131
4.99,-59.906,0,0,1,0.5390946502057616
4.995,-59.689,0,0,1,0.5432098765432101
5.0,-57.19,0,0,1,0.5473251028806585
5.005,-52.194,0,0,1,0.551440329218107
5.01,-46.871,0,0,1,0.5555555555555555
5.015,-42.417,0,0,1,0.5596707818930039
5.02,-38.833,0,0,1,0.5637860082304524
5.025,-36.877,0,0,1,0.5679012345679016
5.03,-35.683,0,0,1,0.5720164609053501
5.035,-35.248,0,0,1,0.5761316872427986
5.04,-36.66,0,0,1,0.580246913580247
5.045,-40.353,0,0,1,0.5843621399176955
5.05,-42.091,0,0,1,0.588477366255144
5.055,-44.155,0,0,1,0.5925925925925924
5.06,-47.197,0,0,1,0.5967078189300409
5.065,-46.436,0,0,1,0.6008230452674901
5.07,-44.698,0,0,1,0.6049382716049386
5.075,-43.612,0,0,1,0.6090534979423871
5.08,-41.222,0,0,1,0.6131687242798356
5.085,-39.919,0,0,1,0.617283950617284
5.09,-39.159,0,0,1,0.6213991769547325
5.095,-39.593,0,0,1,0.625514403292181
5.1,-42.635,0,0,1,0.6296296296296294
5.105,-42.96,0,0,1,0.6337448559670786
5.11,-43.395,0,0,1,0.6378600823045271
5.115,-42.852,0,0,1,0.6419753086419756
5.12,-44.155,0,0,1,0.646090534979424
5.125,-44.047,0,0,1,0.6502057613168726
5.13,-44.481,0,0,1,0.654320987654321
5.135,-45.459,0,0,1,0.6584362139917694
5.14,-47.849,0,0,1,0.662551440329218
5.145,-46.762,0,0,1,0.6666666666666664
5.15,-46.98,0,0,1,0.6707818930041156
5.155,-47.197,0,0,1,0.674897119341564
5.16,-48.5,0,0,1,0.6790123456790126
5.165,-46.328,0,0,1,0.683127572016461
5.17,-43.829,0,0,1,0.6872427983539096
5.175,-43.178,0,0,1,0.691358024691358
5.18,-44.264,0,0,1,0.6954732510288064
5.185,-44.264,0,0,1,0.699588477366255
5.19,-44.807,0,0,1,0.7037037037037042
5.195,-44.264,0,0,1,0.7078189300411526
5.2,-43.721,0,0,1,0.7119341563786011
5.205,-43.069,0,0,1,0.7160493827160496
5.21,-43.178,0,0,1,0.720164609053498
5.215,-44.481,0,0,1,0.7242798353909465
5.22,-47.305,0,0,1,0.728395061728395
5.225,-49.152,0,0,1,0.7325102880658434
5.23,-46.98,0,0,1,0.7366255144032926
5.235,-46.436,0,0,1,0.7407407407407411
5.24,-47.523,0,0,1,0.7448559670781896
5.245,-47.849,0,0,1,0.7489711934156381
5.25,-46.762,0,0,1,0.7530864197530865
5.255,-47.523,0,0,1,0.757201646090535
5.26,-49.587,0,0,1,0.7613168724279835
5.265,-49.695,0,0,1,0.765432098765432
5.27,-50.238,0,0,1,0.7695473251028804
5.275,-50.564,0,0,0,0.7736625514403296
5.28,-51.325,0,0,0,0.7777777777777781
