time,ankle_angle,ground_force_x,ground_force_y,ground_force_z,simulated_act_force,heel_strike,midfoot_strike,toe_strike,repetition
0.007,0.0437466514711033,-5.324922638430355,3.646604091660201,0.3222158820113298,0.0,0,0,0,0
0.014,0.040151934832027,-6.630519385915062,5.156770381783327,0.5704213654240309,0.0,0,0,0,0
0.021,0.0335018666036726,-8.895580881913453,7.795555076418197,0.905926616461278,0.0,0,0,0,0
0.028,0.0278901729473795,-13.37069044570894,12.89811463397801,1.085042585602985,1.0,1,0,0,0
0.035,0.0240952514886059,-19.80267272515483,21.0371805442485,0.4569365533738414,2.0,1,0,0,0
0.042,0.0203724229364563,-15.63307328970871,31.73937794322408,-1.390883305035254,3.0,1,0,0,0
0.049,0.01669320324328,-2.352429989756767,48.6557870505735,-2.175889712606494,4.0,1,0,0,0
0.056,0.0139922315869165,5.716886538037232,82.28002876612659,-0.7848510462820311,8.0,1,0,0,0
0.063,0.0119485667594931,7.550781551196865,132.2888614780598,2.667585103696404,13.0,1,0,0,0
0.07,0.0097808230908158,5.351172622835032,183.8453844306994,5.370216803069962,18.0,1,0,0,0
0.07700000000000001,0.007265867598601,1.176185591056409,226.1709696824638,7.535542999552662,22.0,1,0,0,0
0.084,0.0046879469708551,-3.814153262306334,257.0640343487295,9.528858830479091,25.0,1,0,0,0
0.09100000000000001,0.0024544142191397,-10.34270097183998,278.3993864387051,10.22868966595267,27.0,1,0,0,0
0.098,0.0006853470112855,-18.0441725516784,293.5386204499407,9.65346804238016,29.0,1,0,0,0
0.10500000000000001,-0.0006481549968612,-25.94262547750899,306.1598505392111,8.053395355657619,30.0,1,0,0,0
0.112,-0.0014996715559888,-33.44128265256766,319.0647797119059,5.653157593957109,31.0,1,0,0,0
0.11900000000000001,-0.0018075568245796,-40.09775161175799,333.4550334263504,2.6593912001578,33.0,1,0,0,0
0.126,-0.0015392915637354,-45.87472379527156,350.1638401994898,-0.7841084810311171,35.0,1,0,0,0
